Time,Time Code,Country Name,Country Code,"Mortality rate, under-5 (per 1,000 live births) [SH.DYN.MORT]","Immunization, measles (% of children ages 12-23 months) [SH.IMM.MEAS]"
1980,YR1980,East Asia & Pacific,EAS,..,..
1980,YR1980,Europe & Central Asia,ECS,..,..
1980,YR1980,Latin America & Caribbean,LCN,..,43.1398919039779
1980,YR1980,Middle East & North Africa,MEA,..,30.5607674553465
1980,YR1980,South Asia,SAS,..,..
1980,YR1980,Sub-Saharan Africa,SSF,..,..
1980,YR1980,North America,NAC,..,86
1980,YR1980,World,WLD,..,..
1981,YR1981,East Asia & Pacific,EAS,..,..
1981,YR1981,Europe & Central Asia,ECS,..,..
1981,YR1981,Latin America & Caribbean,LCN,..,50.2533550961536
1981,YR1981,Middle East & North Africa,MEA,..,34.2594630704775
1981,YR1981,South Asia,SAS,..,..
1981,YR1981,Sub-Saharan Africa,SSF,..,..
1981,YR1981,North America,NAC,..,97
1981,YR1981,World,WLD,..,..
1982,YR1982,East Asia & Pacific,EAS,..,..
1982,YR1982,Europe & Central Asia,ECS,..,..
1982,YR1982,Latin America & Caribbean,LCN,..,48.5231708389398
1982,YR1982,Middle East & North Africa,MEA,..,37.7741021168104
1982,YR1982,South Asia,SAS,..,..
1982,YR1982,Sub-Saharan Africa,SSF,..,..
1982,YR1982,North America,NAC,..,97
1982,YR1982,World,WLD,..,..
1983,YR1983,East Asia & Pacific,EAS,..,57.1216482668994
1983,YR1983,Europe & Central Asia,ECS,..,..
1983,YR1983,Latin America & Caribbean,LCN,..,47.7047471797148
1983,YR1983,Middle East & North Africa,MEA,..,36.7117736451797
1983,YR1983,South Asia,SAS,..,..
1983,YR1983,Sub-Saharan Africa,SSF,..,..
1983,YR1983,North America,NAC,..,98
1983,YR1983,World,WLD,..,48.6768086254119
1984,YR1984,East Asia & Pacific,EAS,..,62.1038973555978
1984,YR1984,Europe & Central Asia,ECS,..,..
1984,YR1984,Latin America & Caribbean,LCN,..,51.7810784726112
1984,YR1984,Middle East & North Africa,MEA,..,41.7029737621859
1984,YR1984,South Asia,SAS,..,..
1984,YR1984,Sub-Saharan Africa,SSF,..,28.3572572829829
1984,YR1984,North America,NAC,..,98
1984,YR1984,World,WLD,..,50.6531511705914
1985,YR1985,East Asia & Pacific,EAS,..,69.2660945603779
1985,YR1985,Europe & Central Asia,ECS,..,..
1985,YR1985,Latin America & Caribbean,LCN,..,59.9330494027985
1985,YR1985,Middle East & North Africa,MEA,..,61.1091867578358
1985,YR1985,South Asia,SAS,..,5.85815081356724
